SCC076,Rice (Veg),veg,Veg Hot Garlic Fry Rice - F,130,https://rahool.in/temp/sct/src/webp/76sw_Veg Hot Garlic Fry Rice - F.webp,
SCC077,Rice (Veg),veg,Veg Brown Fry Rice - H,80,https://rahool.in/temp/sct/src/webp/77sw_Veg Brown Fry Rice - H.webp,
SCC078,Rice (Veg),veg,Veg Brown Fry Rice - F,150,https://rahool.in/temp/sct/src/webp/78sw_Veg Brown Fry Rice - F.webp,
SCC079,Rice (Veg),veg,Veg Schezwan Fry Rice - H,80,https://rahool.in/temp/sct/src/webp/79sw_Veg Schezwan Fry Rice - H.webp,
SCC080,Rice (Veg),veg,Veg Schezwan Fry Rice - F,140,https://rahool.in/temp/sct/src/webp/80sw_Veg Schezwan Fry Rice - F.webp,
SCC081,Rice (Veg),veg,Veg Hongkong Fry Rice - H,80,https://rahool.in/temp/sct/src/webp/81sw_Veg Hongkong Fry Rice - H.webp,
SCC082,Rice (Veg),veg,Veg Hongkong Fry Rice - F,140,https://rahool.in/temp/sct/src/webp/82sw_Veg Hongkong Fry Rice - F.webp,
SCC083,Rice (Veg),veg,Kashmiri Pulao,170,https://rahool.in/temp/sct/src/webp/83sw_Kashmiri Pulao.webp,
SCC084,Rice (Veg),veg,Jeera Rice - H,60,https://rahool.in/temp/sct/src/webp/84sw_Jeera Rice - H.webp,
SCC085,Rice (Veg),veg,Jeera Rice - F,95,https://rahool.in/temp/sct/src/webp/85sw_Jeera Rice - F.webp,
SCC086,Rice (Veg),veg,Plain Rice,60,https://rahool.in/temp/sct/src/webp/86sw_Plain Rice.webp,
SCC087,Rice (Veg),veg,Veg Pulao,120,https://rahool.in/temp/sct/src/webp/87sw_Veg Pulao.webp,
SCC088,Rice (Veg),veg,Veg Biryani,140,https://rahool.in/temp/sct/src/webp/88sw_Veg Biryani.webp,
SCC089,Rice (Non-Veg),non-veg,Chicken Biryani (2PC),190,https://rahool.in/temp/sct/src/webp/89sw_Chicken Biryani (2PC).webp,
SCC090,Rice (Non-Veg),non-veg,Egg Biryani,140,https://rahool.in/temp/sct/src/webp/90sw_Egg Biryani.webp,
SCC091,Rice (Non-Veg),non-veg,Egg Fry Rice - H,80,https://rahool.in/temp/sct/src/webp/91sw_Egg Fry Rice - H.webp,
SCC092,Rice (Non-Veg),non-veg,Egg Fry Rice - F,140,https://rahool.in/temp/sct/src/webp/92sw_Egg Fry Rice - F.webp,
SCC093,Rice (Non-Veg),non-veg,Chicken Fry Rice - H,80,https://rahool.in/temp/sct/src/webp/93sw_Chicken Fry Rice - H.webp,
SCC094,Rice (Non-Veg),non-veg,Chicken Fry Rice - F,150,https://rahool.in/temp/sct/src/webp/94sw_Chicken Fry Rice - F.webp,
SCC095,Rice (Non-Veg),non-veg,Mix Fry Rice Chicken Egg - H,100,https://rahool.in/temp/sct/src/webp/95sw_Mix Fry Rice Chicken Egg - H.webp,
SCC096,Rice (Non-Veg),non-veg,Mix Fry Rice Chicken Egg - F,180,https://rahool.in/temp/sct/src/webp/96sw_Mix Fry Rice Chicken Egg - F.webp,
SCC097,Tandoori (Non-Veg),non-veg,Chicken Tandoori (2PC),170,https://rahool.in/temp/sct/src/webp/97sw_Chicken Tandoori (2PC).webp,
SCC098,Tandoori (Non-Veg),non-veg,Chicken Tandoori (4PC),320,https://rahool.in/temp/sct/src/webp/98sw_Chicken Tandoori (4PC).webp,
SCC099,Tandoori (Non-Veg),non-veg,Chicken Tikka (8PC),170,https://rahool.in/temp/sct/src/webp/99sw_Chicken Tikka (8PC).webp,
SCC100,Tandoori (Non-Veg),non-veg,Chicken Malai Tikka (8PC),200,https://rahool.in/temp/sct/src/webp/100sw_Chicken Malai Tikka (8PC).webp,
SCC101,Tandoori (Non-Veg),non-veg,Chicken Reshmi Kabab (8PC),180,https://rahool.in/temp/sct/src/webp/101sw_Chicken Reshmi Kabab (8PC).webp,
SCC102,Tandoori (Non-Veg),non-veg,Punjabi Murg Kabab (4PC),210,https://rahool.in/temp/sct/src/webp/102sw_Punjabi Murg Kabab (4PC).webp,
SCC103,Tandoori (Non-Veg),non-veg,Chicken Afgani Kabab (4PC),200,https://rahool.in/temp/sct/src/webp/103sw_Chicken Afgani Kabab (4PC).webp,
SCC104,Tandoori (Non-Veg),non-veg,Chicken Leg Kabab (1PC),90,https://rahool.in/temp/sct/src/webp/104sw_Chicken Leg Kabab (1PC).webp,
SCC105,Tandoori (Non-Veg),non-veg,Chatpata Murg Kabab (4PC),230,https://rahool.in/temp/sct/src/webp/105sw_Chatpata Murg Kabab (4PC).webp,
SCC106,Tandoori (Veg),veg,Paneer Tikka (8PC),180,https://rahool.in/temp/sct/src/webp/106sw_Paneer Tikka (8PC).webp,
SCC107,Tandoori (Veg),veg,Paneer Malai Tikka (8PC),190,https://rahool.in/temp/sct/src/webp/107sw_Paneer Malai Tikka (8PC).webp,
SCC108,Tandoori (Veg),veg,Paneer Hyderabadi Tikka (8PC),190,https://rahool.in/temp/sct/src/webp/108sw_Paneer Hyderabadi Tikka (8PC).webp,
SCC109,Tandoori (Veg),veg,Haryali Paneer Tikka (8PC),190,https://rahool.in/temp/sct/src/webp/109sw_Haryali Paneer Tikka (8PC).webp,
SCC110,Roti (Tandoor),Bread,Tandoori Roti,10,https://rahool.in/temp/sct/src/webp/110sw_Tandoori Roti.webp,
SCC111,Roti (Tandoor),Bread,Butter Roti,15,https://rahool.in/temp/sct/src/webp/111sw_Butter Roti.webp,
SCC112,Roti (Tandoor),Bread,Naan,25,https://rahool.in/temp/sct/src/webp/112sw_Naan.webp,
SCC113,Roti (Tandoor),Bread,Butter Naan,30,https://rahool.in/temp/sct/src/webp/113sw_Butter Naan.webp,
SCC114,Roti (Tandoor),Bread,Masala Naan,50,,
SCC115,Roti (Tandoor),Bread,Paneer Naan,70,https://rahool.in/temp/sct/src/webp/115sw_Paneer Naan.webp,
SCC116,Roti (Tandoor),Bread,Garlic Naam,60,https://rahool.in/temp/sct/src/webp/116sw_Garlic Naam.webp,
SCC117,Roti (Tandoor),Bread,Cheese Naan,80,https://rahool.in/temp/sct/src/webp/117sw_Cheese Naan.webp,
SCC118,Roti (Tandoor),Bread,Cheese Garlic Naan,85,https://rahool.in/temp/sct/src/webp/118sw_Cheese Garlic Naan.webp,
SCC119,Roti (Tandoor),Bread,Kulcha,25,https://rahool.in/temp/sct/src/webp/119sw_Kulcha.webp,
SCC120,Roti (Tandoor),Bread,Butter Kulcha,30,https://rahool.in/temp/sct/src/webp/120sw_Butter Kulcha.webp,
SCC121,Roti (Tandoor),Bread,Masala Kulcha,50,https://rahool.in/temp/sct/src/webp/121sw_Masala Kulcha.webp,
SCC122,Roti (Tandoor),Bread,Paneer Kulcha,60,https://rahool.in/temp/sct/src/webp/122sw_Paneer Kulcha.webp,
SCC123,Indian (Veg),veg,Mix Veg - H,80,https://rahool.in/temp/sct/src/webp/123sw_Mix Veg - H.webp,
SCC124,Indian (Veg),veg,Mix Veg - F,130,https://rahool.in/temp/sct/src/webp/124sw_Mix Veg - F.webp,
SCC125,Indian (Veg),veg,Mushroom Masala,160,https://rahool.in/temp/sct/src/webp/125sw_Mushroom Masala.webp,
SCC126,Indian (Veg),veg,Mushroom Kadai,160,https://rahool.in/temp/sct/src/webp/126sw_Mushroom Kadai.webp,
SCC127,Indian (Veg),veg,Baby Corn Masala,160,https://rahool.in/temp/sct/src/webp/127sw_Baby Corn Masala.webp,
SCC128,Indian (Veg),veg,Baby Corn Butter Masala,170,https://rahool.in/temp/sct/src/webp/128sw_Baby Corn Butter Masala.webp,
SCC129,Indian (Veg),veg,Paneer Butter Masala - H,90,https://rahool.in/temp/sct/src/webp/129sw_Paneer Butter Masala - H.webp,
SCC130,Indian (Veg),veg,Paneer Butter Masala - F,160,https://rahool.in/temp/sct/src/webp/130sw_Paneer Butter Masala - F.webp,
SCC131,Indian (Veg),veg,Paneer Kadai,160,https://rahool.in/temp/sct/src/webp/131sw_Paneer Kadai.webp,
SCC132,Indian (Veg),veg,Paneer Handi,160,https://rahool.in/temp/sct/src/webp/132sw_Paneer Handi.webp,
